epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.584,1.88221,1.94169,1.89788,0.4873,0.66986,0.59475,0.24885,1.907,2.40505,2.10674,0.000262911,0.000262911,0.0673991
2,218.132,1.87355,1.77694,1.91166,0.53472,0.42629,0.46046,0.18983,2.06357,2.1847,2.26899,0.000520839,0.000520839,0.0343237
3,345.818,1.85672,1.77159,1.9114,0.38544,0.49783,0.38733,0.14715,2.14156,2.66262,2.27208,0.000769968,0.000769968,0.00123945
4,483.089,1.86014,1.7465,1.90157,0.5203,0.46666,0.4211,0.15418,2.14175,2.27339,2.25738,0.0007604,0.0007604,0.0007604
5,634.413,1.81131,1.7129,1.87372,0.58333,0.50567,0.4619,0.19696,1.93826,1.65364,2.10848,0.0007472,0.0007472,0.0007472
6,777.787,1.81414,1.71865,1.85947,0.58529,0.54565,0.47914,0.19693,1.84513,1.54114,1.96984,0.000734,0.000734,0.000734
7,911.993,1.80892,1.66213,1.84506,0.60813,0.57621,0.56073,0.23798,1.82676,1.67401,1.98686,0.0007208,0.0007208,0.0007208
8,1048.23,1.77911,1.66791,1.83592,0.57242,0.54806,0.51111,0.21665,1.89316,1.57938,1.96718,0.0007076,0.0007076,0.0007076
9,1186.78,1.77928,1.57152,1.82747,0.64843,0.71545,0.72536,0.31362,1.85003,1.41896,1.98267,0.0006944,0.0006944,0.0006944
10,1319.25,1.74216,1.56713,1.82087,0.69773,0.68696,0.70558,0.29553,1.8651,1.46665,1.98894,0.0006812,0.0006812,0.0006812
11,1452.8,1.75197,1.57107,1.82294,0.67522,0.71867,0.7096,0.32145,1.79826,1.392,1.92644,0.000668,0.000668,0.000668
12,1588.13,1.72656,1.5287,1.79963,0.68905,0.71707,0.72938,0.31822,1.84969,1.34048,1.94469,0.0006548,0.0006548,0.0006548
13,1722.89,1.69978,1.49879,1.77747,0.73579,0.68633,0.74091,0.34274,1.80615,1.31698,1.91378,0.0006416,0.0006416,0.0006416
14,1860.87,1.7006,1.48073,1.7841,0.71125,0.74106,0.75425,0.34311,1.75548,1.35667,1.91302,0.0006284,0.0006284,0.0006284
15,2001.47,1.71489,1.50191,1.80026,0.6504,0.74893,0.70683,0.29938,1.83407,1.40594,1.93909,0.0006152,0.0006152,0.0006152
16,2138.68,1.69866,1.46861,1.76325,0.62972,0.74857,0.72084,0.33293,1.81125,1.36318,1.96175,0.000602,0.000602,0.000602
17,2282.18,1.6816,1.42574,1.76561,0.68946,0.73359,0.75513,0.34722,1.77819,1.35312,1.92227,0.0005888,0.0005888,0.0005888
18,2412.33,1.66041,1.42609,1.74515,0.71087,0.73622,0.76867,0.36058,1.77707,1.25532,1.90509,0.0005756,0.0005756,0.0005756
19,2544.73,1.65216,1.42534,1.75845,0.66334,0.75888,0.73535,0.33257,1.86108,1.31345,1.9737,0.0005624,0.0005624,0.0005624
20,2684.04,1.66063,1.41445,1.74473,0.70038,0.73525,0.72334,0.32436,1.78942,1.35295,1.92806,0.0005492,0.0005492,0.0005492
21,2818.37,1.64869,1.40305,1.7394,0.6977,0.75835,0.76668,0.35636,1.78706,1.29958,1.91941,0.000536,0.000536,0.000536
22,2952.57,1.634,1.36438,1.73684,0.76711,0.7688,0.78116,0.3597,1.80347,1.22276,1.93634,0.0005228,0.0005228,0.0005228
23,3084.94,1.63664,1.37751,1.72686,0.74799,0.75452,0.76876,0.34803,1.76523,1.24885,1.89553,0.0005096,0.0005096,0.0005096
24,3223.8,1.63411,1.35475,1.75095,0.7628,0.72705,0.77901,0.35321,1.77078,1.23398,1.90863,0.0004964,0.0004964,0.0004964
25,3355.78,1.62402,1.33759,1.72783,0.74364,0.74452,0.76997,0.3614,1.73402,1.22646,1.89952,0.0004832,0.0004832,0.0004832
26,3487.89,1.60545,1.30263,1.7116,0.71659,0.79439,0.77202,0.35413,1.79232,1.2192,1.92097,0.00047,0.00047,0.00047
27,3626.53,1.62465,1.31676,1.7255,0.725,0.73229,0.7608,0.33691,1.79567,1.26632,1.9392,0.0004568,0.0004568,0.0004568
28,3759.96,1.60354,1.31126,1.72373,0.75564,0.7837,0.78926,0.35638,1.80856,1.20003,1.932,0.0004436,0.0004436,0.0004436
29,3900.72,1.62941,1.29904,1.71693,0.72076,0.78163,0.78138,0.34884,1.77056,1.21244,1.90848,0.0004304,0.0004304,0.0004304
30,4038.88,1.5937,1.27945,1.70739,0.73289,0.7781,0.78619,0.35875,1.80555,1.14772,1.93197,0.0004172,0.0004172,0.0004172
31,4174.51,1.5918,1.27652,1.71076,0.75261,0.77501,0.7802,0.36648,1.74698,1.18257,1.91361,0.000404,0.000404,0.000404
32,4304.24,1.57961,1.22743,1.69565,0.74411,0.7616,0.76749,0.34772,1.80674,1.19234,1.94946,0.0003908,0.0003908,0.0003908
33,4435.6,1.55243,1.24648,1.70134,0.73572,0.79589,0.77225,0.34325,1.83668,1.14912,1.98621,0.0003776,0.0003776,0.0003776
34,4568.93,1.56289,1.23331,1.70491,0.74169,0.76006,0.7744,0.3608,1.79919,1.16904,1.94294,0.0003644,0.0003644,0.0003644
35,4702.28,1.5573,1.20995,1.68537,0.76135,0.7922,0.79409,0.37962,1.72859,1.13069,1.91591,0.0003512,0.0003512,0.0003512
36,4848.82,1.55561,1.21807,1.68314,0.75097,0.78485,0.78296,0.36568,1.80558,1.15156,1.96233,0.000338,0.000338,0.000338
37,4977.9,1.5406,1.17897,1.67474,0.75219,0.79391,0.78362,0.34364,1.85653,1.14465,1.99123,0.0003248,0.0003248,0.0003248
38,5114.23,1.54338,1.19516,1.66791,0.75647,0.77809,0.79008,0.363,1.82719,1.12015,1.96028,0.0003116,0.0003116,0.0003116
39,5245.26,1.53604,1.18298,1.68006,0.73829,0.76625,0.77591,0.36483,1.80266,1.14747,1.95132,0.0002984,0.0002984,0.0002984
40,5384.81,1.51253,1.14638,1.65701,0.77818,0.78478,0.78363,0.35711,1.81114,1.12296,1.96987,0.0002852,0.0002852,0.0002852
41,5527.03,1.51433,1.14678,1.64856,0.73674,0.78726,0.80002,0.35932,1.82258,1.13468,1.98377,0.000272,0.000272,0.000272
42,5666.47,1.49397,1.1483,1.64393,0.73199,0.75942,0.78405,0.36281,1.77874,1.14353,1.9434,0.0002588,0.0002588,0.0002588
43,5862.77,1.50863,1.12073,1.64237,0.74674,0.79167,0.7793,0.36535,1.77126,1.14473,1.93751,0.0002456,0.0002456,0.0002456
