epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,282.589,1.88513,2.7522,2.10562,0.31465,0.2642,0.04305,0.01684,2.40501,13.5794,2.88692,0.00033046,0.00033046,0.0672845
2,611.768,1.89359,2.72611,2.15771,0.00561,0.34891,0.0029,0.00099,2.65645,175.335,3.41399,0.000652841,0.000652841,0.0342735
3,946.19,1.88855,2.67105,2.1563,0.2957,0.05858,0.01919,0.00641,2.41656,8.18569,2.70275,0.000964221,0.000964221,0.00125158
4,1290.01,1.86453,2.63797,2.10187,0.28999,0.10212,0.03422,0.00984,2.58414,5.10584,2.9462,0.0009505,0.0009505,0.0009505
5,1660.94,1.81448,2.5293,2.06917,0.32921,0.07366,0.03871,0.01228,2.32445,4.55122,2.53905,0.000934,0.000934,0.000934
6,2032.65,1.7557,2.49071,2.01517,0.36594,0.14764,0.09041,0.0361,2.25629,4.38662,2.58424,0.0009175,0.0009175,0.0009175
7,2414.49,1.7537,2.42441,2.00802,0.30647,0.07749,0.03045,0.01081,2.39671,4.25736,2.67095,0.000901,0.000901,0.000901
8,2815.67,1.7144,2.39157,2.00488,0.37631,0.26092,0.13746,0.05606,2.24014,3.6061,2.5392,0.0008845,0.0008845,0.0008845
9,3230.38,1.68768,2.29565,1.9566,0.36793,0.14172,0.11762,0.04374,2.31804,4.28022,2.58179,0.000868,0.000868,0.000868
10,3674.37,1.63763,2.26451,1.93161,0.39206,0.24914,0.13542,0.05781,2.31858,4.62562,2.58469,0.0008515,0.0008515,0.0008515
11,4078.75,1.65599,2.17465,1.93603,0.39746,0.25107,0.15588,0.06104,2.23903,3.76142,2.54163,0.000835,0.000835,0.000835
12,4480.49,1.64531,2.19347,1.90999,0.44759,0.32865,0.19598,0.08427,2.22969,4.07698,2.48927,0.0008185,0.0008185,0.0008185
13,4882.13,1.5985,2.14158,1.89024,0.30571,0.3222,0.1625,0.06428,2.18382,3.76757,2.54205,0.000802,0.000802,0.000802
14,5284.82,1.60058,2.12729,1.89954,0.39104,0.27764,0.16606,0.07024,2.17146,3.68056,2.44995,0.0007855,0.0007855,0.0007855
15,5707.77,1.57245,2.04699,1.87712,0.4614,0.28374,0.20596,0.09074,2.19735,3.69546,2.49389,0.000769,0.000769,0.000769
16,6135.37,1.58912,2.02229,1.88164,0.35715,0.2905,0.10787,0.04627,2.29507,4.00395,2.6086,0.0007525,0.0007525,0.0007525
17,6500.29,1.57352,1.99672,1.8603,0.25329,0.35581,0.21411,0.09047,2.10846,3.5979,2.43691,0.000736,0.000736,0.000736
18,6908.02,1.54192,1.9781,1.84069,0.4075,0.30624,0.18876,0.07524,2.07743,3.74384,2.4234,0.0007195,0.0007195,0.0007195
19,7372.52,1.54095,1.97872,1.84704,0.39201,0.29812,0.15162,0.06889,2.22202,3.95352,2.56348,0.000703,0.000703,0.000703
20,7821.77,1.52064,1.93114,1.8216,0.68887,0.24729,0.21867,0.0867,2.19691,3.45116,2.49738,0.0006865,0.0006865,0.0006865
21,8266.7,1.49344,1.86845,1.79976,0.4464,0.31885,0.20781,0.0923,2.18978,3.53531,2.482,0.00067,0.00067,0.00067
22,8718.52,1.493,1.83788,1.80408,0.2953,0.26392,0.20865,0.08436,2.16585,3.29106,2.48307,0.0006535,0.0006535,0.0006535
23,9202.62,1.49102,1.83369,1.78866,0.29787,0.40335,0.22622,0.10345,2.12759,3.25722,2.47019,0.000637,0.000637,0.000637
24,9654.76,1.47502,1.78952,1.78637,0.26196,0.40644,0.21562,0.09322,2.12792,3.18781,2.4932,0.0006205,0.0006205,0.0006205
25,10176.8,1.47855,1.83196,1.81292,0.38201,0.30386,0.21894,0.09637,2.13681,3.31033,2.47273,0.000604,0.000604,0.000604
26,10649.6,1.44796,1.72565,1.75544,0.428,0.28693,0.20141,0.08756,2.12547,3.36624,2.49224,0.0005875,0.0005875,0.0005875
27,11114.8,1.43581,1.70892,1.75616,0.28075,0.32432,0.20454,0.08809,2.15869,3.32667,2.47538,0.000571,0.000571,0.000571
28,11622.2,1.44508,1.71,1.75722,0.40819,0.28997,0.18721,0.08268,2.16297,3.52557,2.53687,0.0005545,0.0005545,0.0005545
29,12101.7,1.40661,1.64542,1.7499,0.23767,0.38601,0.20579,0.09287,2.13122,3.42908,2.45425,0.000538,0.000538,0.000538
30,12647.5,1.41653,1.6603,1.74068,0.33096,0.32568,0.2206,0.09397,2.1348,3.10714,2.53793,0.0005215,0.0005215,0.0005215
31,13130.1,1.4222,1.62879,1.73524,0.30221,0.36697,0.20803,0.0918,2.1476,3.50217,2.51964,0.000505,0.000505,0.000505
32,13662.2,1.3787,1.58295,1.70962,0.24582,0.46526,0.24735,0.10656,2.07015,3.18737,2.42985,0.0004885,0.0004885,0.0004885
33,14222.5,1.3847,1.57415,1.71848,0.25095,0.45706,0.22027,0.09764,2.21156,3.1234,2.54611,0.000472,0.000472,0.000472
34,14715.8,1.37889,1.58022,1.71165,0.25943,0.29775,0.21023,0.09006,2.13434,3.21769,2.48128,0.0004555,0.0004555,0.0004555
35,15267.1,1.36304,1.5226,1.69176,0.3732,0.34679,0.23175,0.09611,2.17498,3.41882,2.47317,0.000439,0.000439,0.000439
36,15856,1.34355,1.50615,1.68353,0.33573,0.36788,0.24234,0.10452,2.09988,3.0974,2.5093,0.0004225,0.0004225,0.0004225
