epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.51,1.50322,2.30589,1.63379,0.3721,0.15894,0.13779,0.07202,1.76577,5.27213,2.04292,0.000331313,0.000331313,0.0672
2,386.333,1.65619,2.33835,1.78174,0.30872,0.24383,0.12768,0.06123,1.80381,4.71622,1.95105,0.00065368,0.00065368,0.034189
3,592.804,1.65389,2.28977,1.77448,0.40575,0.16695,0.15472,0.07533,1.81129,2.76785,1.86374,0.000965046,0.000965046,0.00116707
4,807.517,1.57477,2.12963,1.72391,0.5524,0.17505,0.20927,0.1007,1.68646,2.15679,1.83597,0.0009505,0.0009505,0.0009505
5,1034.92,1.55583,2.01421,1.69774,0.75568,0.16351,0.2671,0.13943,1.63109,2.09251,1.80524,0.000934,0.000934,0.000934
6,1257.88,1.47817,1.93868,1.6585,0.25764,0.31338,0.25639,0.13461,1.54558,1.75642,1.74086,0.0009175,0.0009175,0.0009175
7,1489.21,1.4671,1.85672,1.62484,0.61567,0.34034,0.33691,0.17209,1.55962,1.94995,1.7033,0.000901,0.000901,0.000901
8,1718.29,1.40679,1.76793,1.58561,0.59449,0.27565,0.30309,0.16644,1.62974,1.89212,1.84949,0.0008845,0.0008845,0.0008845
9,1936.3,1.35761,1.66761,1.55053,0.54168,0.35831,0.39676,0.23944,1.48985,1.7599,1.68423,0.000868,0.000868,0.000868
10,2155.17,1.32472,1.64684,1.52929,0.44958,0.33818,0.35578,0.19948,1.49247,1.69211,1.67768,0.0008515,0.0008515,0.0008515
11,3264.18,1.2902,1.52091,1.49444,0.48221,0.27688,0.3344,0.16786,1.51244,1.57924,1.72307,0.000835,0.000835,0.000835
12,3480.15,1.27498,1.53465,1.49255,0.82589,0.30801,0.44277,0.24953,1.43724,1.52372,1.6397,0.0008185,0.0008185,0.0008185
13,3700.62,1.23929,1.42159,1.47703,0.5652,0.33483,0.33271,0.19107,1.51961,1.60924,1.72747,0.000802,0.000802,0.000802
14,4103.17,1.21913,1.38379,1.45152,0.36519,0.45515,0.40715,0.2723,1.48581,1.43561,1.65478,0.0007855,0.0007855,0.0007855
15,4412.99,1.18957,1.31621,1.42288,0.4779,0.38706,0.4451,0.2478,1.4179,1.4652,1.58864,0.000769,0.000769,0.000769
16,4633.48,1.15565,1.25669,1.39587,0.39948,0.33669,0.32305,0.18746,1.41466,1.4816,1.61438,0.0007525,0.0007525,0.0007525
17,4865.14,1.1149,1.20525,1.37376,0.73824,0.31734,0.3758,0.24206,1.40947,1.43925,1.6255,0.000736,0.000736,0.000736
18,5103.75,1.13201,1.19542,1.37327,0.41283,0.50384,0.43725,0.27696,1.44066,1.44014,1.63506,0.0007195,0.0007195,0.0007195
19,5345.14,1.13256,1.16534,1.36815,0.58571,0.43496,0.46893,0.26012,1.44954,1.46208,1.65369,0.000703,0.000703,0.000703
20,5581.46,1.09441,1.16409,1.36166,0.59086,0.42595,0.44004,0.27449,1.4089,1.33081,1.62509,0.0006865,0.0006865,0.0006865
21,5826.34,1.06715,1.09876,1.32444,0.64383,0.45002,0.44391,0.24331,1.43768,1.42934,1.65315,0.00067,0.00067,0.00067
22,6062.25,1.01893,1.05678,1.31109,0.65561,0.49928,0.50073,0.30047,1.44999,1.32452,1.64678,0.0006535,0.0006535,0.0006535
23,6327.28,1.00949,1.0128,1.29369,0.5833,0.44087,0.4875,0.28982,1.38721,1.32449,1.61448,0.000637,0.000637,0.000637
24,6630.17,1.0128,0.99789,1.29578,0.58535,0.51623,0.51403,0.29173,1.47861,1.36553,1.68516,0.0006205,0.0006205,0.0006205
25,6878.32,0.98423,0.9646,1.2674,0.56494,0.43612,0.45136,0.25542,1.41883,1.32203,1.68374,0.000604,0.000604,0.000604
26,7107.39,0.94227,0.90711,1.2488,0.55797,0.48773,0.48091,0.293,1.3636,1.27814,1.62434,0.0005875,0.0005875,0.0005875
27,7353.46,0.95045,0.91508,1.25374,0.50825,0.53328,0.48701,0.28958,1.36782,1.26601,1.59567,0.000571,0.000571,0.000571
28,7657.98,0.92813,0.88654,1.22947,0.62388,0.54311,0.51273,0.29565,1.34867,1.21505,1.61595,0.0005545,0.0005545,0.0005545
29,7948.17,0.91654,0.86389,1.21978,0.66133,0.51853,0.53911,0.31859,1.38363,1.28041,1.67772,0.000538,0.000538,0.000538
30,8220.21,0.89723,0.82036,1.21354,0.67113,0.57,0.54497,0.31597,1.40182,1.28383,1.65826,0.0005215,0.0005215,0.0005215
31,8470.33,0.88109,0.77583,1.19302,0.58129,0.46773,0.50031,0.29146,1.39107,1.29765,1.67972,0.000505,0.000505,0.000505
32,8787.19,0.85729,0.77589,1.18389,0.6754,0.5156,0.52801,0.29395,1.37054,1.18204,1.64015,0.0004885,0.0004885,0.0004885
33,9089.65,0.83696,0.75813,1.17724,0.66953,0.56256,0.5162,0.3117,1.42047,1.23408,1.67639,0.000472,0.000472,0.000472
34,9340.07,0.82954,0.73227,1.15821,0.55499,0.58072,0.52505,0.28832,1.48504,1.23616,1.76283,0.0004555,0.0004555,0.0004555
35,9646.69,0.80845,0.70945,1.14975,0.59692,0.54276,0.54596,0.31659,1.37235,1.22584,1.65917,0.000439,0.000439,0.000439
36,9947.82,0.78107,0.69223,1.13721,0.51102,0.53525,0.49965,0.30131,1.46166,1.26415,1.74538,0.0004225,0.0004225,0.0004225
37,10406.6,0.78106,0.67967,1.1344,0.77448,0.48615,0.51011,0.30537,1.42405,1.22427,1.72477,0.000406,0.000406,0.000406
38,10766.4,0.77333,0.66589,1.12641,0.48427,0.46377,0.42631,0.24997,1.4033,1.26243,1.66552,0.0003895,0.0003895,0.0003895
39,11228.6,0.7661,0.66478,1.11736,0.65441,0.43602,0.47258,0.27366,1.40555,1.25802,1.68033,0.000373,0.000373,0.000373
